id,code,statefullname,usshare,avgprice,revenue
1,AL,Alabama,1.8,9.27,8386
2,AK,Alaska,1.9,17.46,1076
4,AZ,Arizona,0.7,10.18,7764
5,AR,Arkansas,1.8,7.9,3721
6,CA,California,2.9,15.15,39780
8,CO,Colorado,3.5,10.06,5369
9,CT,Connecticut,0.3,17.05,5004
10,DE,Delaware,0,11.22,1272
11,DC,District of Columbia,0,12.11,1356
12,FL,Florida,0.7,10.77,24339
13,GA,Georgia,0.7,10.03,13614
15,HI,Hawaii,0,33.43,3167
16,ID,Idaho,0.2,7.93,1841
17,IL,Illinois,3.1,9.36,13246
18,IN,Indiana,1.4,9.06,9686
19,IA,Iowa,0.9,8.15,3847
20,KS,Kansas,1,10.16,4120
21,KY,Kentucky,2.6,8.15,6425
22,LA,Louisiana,4,8.09,7336
23,ME,Maine,0.1,12.65,1518
24,MD,Maryland,0.3,12.1,7465
25,MA,Massachusetts,0.2,15.35,8364
26,MI,Michigan,0.8,11.03,11398
27,MN,Minnesota,0.5,9.52,6541
28,MS,Mississippi,0.5,9.6,4744
29,MO,Missouri,0.2,9.11,7644
30,MT,Montana,1.4,8.59,1211
31,NE,Nebraska,0.5,8.84,2671
32,NV,Nevada,0.1,9.73,3411
33,NH,New Hampshire,0.2,15.22,1666
34,NJ,New Jersey,0.5,13.95,10303
35,NM,New Mexico,2.9,9.65,2232
36,NY,New York,1.1,16.25,23951
37,NC,North Carolina,0.7,9.33,12422
38,ND,North Dakota,3.2,8.41,1535
39,OH,Ohio,1.5,9.73,14661
40,OK,Oklahoma,4,8.18,5036
41,OR,Oregon,0.6,8.68,4110
42,PA,Pennsylvania,7.2,10.28,15078
44,RI,Rhode Island,0,15.41,1178
45,SC,South Carolina,0.8,9.67,7890
46,SD,South Dakota,0.3,9.05,1118
47,TN,Tennessee,0.7,9.4,9418
48,TX,Texas,19.1,8.94,34832
49,UT,Utah,1.4,8.35,2510
50,VT,Vermont,0.1,14.57,811
51,VA,Virginia,1.3,9.17,10284
53,WA,Washington,1.2,7.13,6566
54,WV,West Virginia,4.6,7.65,2502
55,WI,Wisconsin,0.4,10.57,7345
56,WY,Wyoming,11.3,7.76,1330
