id,lat,lon,generation,fuel
2,33.458665,-87.356823,47391,water
3,31.0069,-88.0103,12981029,naturalgas
4,32.583889,-86.283056,590121,water
7,34.0128,-85.9708,216750,otherrenewable
8,33.644344,-87.196486,5247433,coal
9,31.7569,-106.375,39856,naturalgas
10,32.6017,-87.7811,2857924,naturalgas
11,33.7845,-86.0524,198568,water
12,33.2553,-87.4495,72223,water
13,32.6189,-86.2548,294067,water
14,33.425878,-86.337547,346035,water
15,32.9633,-86.5187,561938,water
16,32.680394,-85.911442,348048,water
17,32.806025,-86.444892,466344,water
18,33.9406,-87.1077,243605,water
19,32.535436,-85.887614,228345,water
20,34.172142,-85.753806,209892,water
21,32.5743,-85.8901,138401,water
26,33.244211,-86.458056,6432761,naturalgas
30,44.0525,-94.4153,140,petroleum
34,39.134259,-120.953341,27008,water
38,32.100881,-87.399767,356205,water
46,34.7042,-87.1189,26738,nuclear
47,34.7439,-87.8486,3594781,naturalgas
48,34.421272,-86.393931,713367,water
49,34.8069,-87.3819,1247298,water
50,34.883022,-85.755253,3705848,coal
51,32.030556,-93.569167,2899537,coal
53,31.4033,-86.479469,6932,water
54,37.8833,-84.1017,472049,naturalgas
55,31.361146,-86.518307,7764,water
56,31.488019,-87.910747,1876861,coal
59,40.854765,-98.348222,517873,petroleum
60,40.580872,-98.312437,1673671,petroleum
62,58.3176,-134.101,27380,water
63,58.3107,-134.4174,5652,water
64,58.3536,-134.4953,181,petroleum
65,58.3269,-134.4631,22116,water
66,59.4545,-135.3131,3002,water
69,59.2358,-135.445,122,petroleum
70,55.613892,-131.35417,66187,water
71,57.6861,-152.895,134031,water
72,34.01135,-118.4168,3,water
75,61.2221,-149.8661,33642,naturalgas
77,61.475211,-149.15009,83110,water
78,58.1415,-133.737,285599,water
79,64.847743,-147.735063,191062,coal
84,55.344641,-131.633425,24429,water
85,55.3633,-131.6778,262902,petroleum
87,35.4159,-108.082,1389687,naturalgas
88,41.949,-74.2063,7924,water
90,64.505924,-165.429384,30342,wind
91,56.81104,-132.957091,13840,water
92,60.1083,-149.4417,49,petroleum
93,57.0516,-135.2297,40707,water
95,56.4522,-132.3683,673,petroleum
96,61.1861,-151.0356,1216481,naturalgas
99,47.079722,-122.365,14220,naturalgas
100,33.466477,-111.781064,3,water
104,37.147926,-119.2567,78290,water
108,37.9308,-100.9725,1981862,naturalgas
109,59.6708,-157.89,18459,petroleum
113,34.9394,-110.3033,6630105,naturalgas
114,31.364122,-109.5538,289,petroleum
116,33.4225,-111.9122,76289,naturalgas
117,33.4417,-112.1583,1605461,naturalgas
